,PostID,avg_engagement_rate,likesCount
0,1,95014.0,94714
1,5,99508.0,98644
2,21,95990.0,95623
3,23,69277.0,68956
4,35,84731.0,83549
5,50,48261.0,48127
6,62,58960.0,58646
7,75,19319.0,19196
8,83,20414.0,20342
9,85,220029.0,218989
10,86,28372.0,28164
11,93,18712.0,18613
12,96,111742.0,111448
13,97,34534.0,34458
14,103,82966.0,82662
15,107,38857.0,38721
16,109,28833.0,28745
17,112,112001.0,111715
18,116,56653.0,56271
19,117,71804.0,71597
20,118,98491.0,98279
21,119,68568.0,68432
22,121,49210.0,48982
23,123,63201.0,62974
24,129,75148.0,74837
25,130,115426.0,115148
26,136,34005.0,33924
27,137,26182.0,26077
28,140,59280.0,59091
29,142,32507.0,32408
30,144,34259.0,34091
31,155,72353.0,72066
32,157,46540.0,46347
33,158,45233.0,45083
34,159,88100.0,86666
35,160,60329.0,59726
36,170,131834.0,131517
37,172,51800.0,51533
38,174,49491.0,49294
39,181,248827.0,247961
40,186,32665.0,32541
41,191,102710.0,102514
42,198,27025.0,26904
43,215,22047.0,21780
44,216,29829.0,29469
45,220,103916.0,103083
46,224,11196.0,11055
47,225,7241.0,7143
48,227,15975.0,15810
49,229,11237.0,11112
