Topic ID,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15,Word 16,Word 17,Word 18,Word 19,Word 20
0,lip,tint,treatment,peptide,vanilla,restock,please,got,back,rhode,absolutely,balm,set,coming,finally,stock,limited,bought,fluid,plastic
1,girl,need,bad,release,asap,skincare,next,blockout,toast,pink,thought,piggy,duo,sleepy,birthday,blush,want,stunning,mirror,palestine
2,skin,product,good,best,cleanser,glazing,milk,rhode,really,feel,use,thats,always,great,used,ever,could,let,like,world
3,need,rhode,pls,try,australia,ship,coming,everything,india,gorgeous,spf,ok,im,fan,want,back,samsung,ah,asking,dying
4,case,make,iphone,phone,please,want,pro,plus,model,one,max,right,yall,buy,fit,would,rhode,need,red,little
5,please,rhode,come,haileybieber,bring,back,face,brazil,wow,hand,ship,makeup,passionfruit,wash,else,one,would,begging,strawberry,india
6,back,na,time,get,rhode,kit,team,last,gon,stock,going,product,people,im,didnt,restocked,first,u,day,sure
7,look,yes,omg,jelly,bean,pretty,summer,glaze,strawberry,restocking,free,good,nice,every,better,want,missed,lemon,skin,youre
8,shipping,amazing,rhode,packaging,wish,trying,price,list,whole,looking,netherlands,get,saw,add,uk,start,im,guy,buy,pm
9,like,bag,buy,new,rhode,caramel,care,salted,taste,thanks,tell,literally,drop,skin,dream,sold,smell,hope,name,stuff
10,order,still,waiting,havent,received,yet,month,even,week,refund,th,rhode,dont,response,ordered,email,product,placed,favorite,hot
11,got,ive,color,thing,im,issue,marketing,long,today,order,company,missing,get,nothing,time,launch,well,new,anything,actually
12,available,size,rhode,time,beauty,keep,would,product,first,idea,like,travel,cream,definitely,cool,many,second,everyone,pic,send
13,cant,wait,shade,restock,excited,get,try,im,blush,line,one,tan,plz,salty,jellybean,ordered,watermelon,sad,raspberry,rhode
14,customer,service,rhode,perfect,day,comment,im,sent,sephora,someone,email,obsessed,post,store,sell,page,disappointed,ago,ready,order
15,dm,please,rhode,check,respond,message,order,email,answer,shes,cute,u,take,dont,send,something,whats,guy,way,sunscreen
16,know,thank,hailey,beautiful,april,reply,vibe,selena,anyone,made,giving,rhode,queen,cause,product,copying,problem,wearing,arinanurmasari,people
17,love,blush,much,rhode,product,would,hailey,without,try,using,amazing,see,im,work,live,year,bit,cleanser,may,sweden
18,mine,think,go,pineapple,dont,like,give,doesnt,agree,website,want,also,another,date,portugal,gritty,tried,support,product,yeah
19,already,package,pr,fruit,people,order,ordered,getting,passion,help,put,rhode,gloss,got,dont,never,came,ugh,shipped,really
