Topic ID,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14,Word 15
0,day,rhode,night,soft,glazing,milk,base,hydration,glaze,treat,strawberry,summer,makeup,essential,serve
1,lip,tint,sheer,hydrated,essential,back,glossy,rich,coming,skin,shade,keep,raspberry,pt,jelly
2,rhode,pocket,summer,get,pop,lip,sized,blush,ready,ft,nyc,new,tint,tomorrow,see
3,rhode,kit,bag,new,inside,essential,st,greene,york,ny,bubble,scene,behind,bundled,see
4,shade,blush,pocket,salty,tan,nyc,sprinkle,pink,pop,wear,warm,meet,go,pick,pearly
5,pocket,blush,shade,tint,lip,wear,marg,spicy,duo,peach,spritz,guava,go,rhode,pit
6,rhode,booth,mood,la,miami,tint,take,lip,jelly,raspberry,come,peptide,shade,skin,u
7,blush,pocket,shade,six,swatch,little,pt,june,tint,teddy,lip,toasted,box,juice,piggy
8,refresh,pineapple,cleanser,rhodeskincom,january,new,first,pt,impression,routine,daily,available,rhode,coming,waitlist
9,rhode,espresso,perfect,ottoni,summer,key,base,makeup,routine,skin,kit,hydrated,cup,look,restore
10,skin,rhode,review,glazing,milk,bottle,alexis,prepped,ft,get,glam,birthday,brc,festival,season
11,rhode,routine,glaze,brc,kit,glazing,milk,shade,lip,toast,makeup,prep,ft,essential,tint
12,pineapple,refresh,find,lip,formula,day,rhode,ingredient,away,test,put,hyaluronic,gen,next,acid
13,lip,tint,case,summer,rhodeskincom,pt,back,february,shade,peptide,join,waitlist,hb,duo,rhode
14,lip,peptide,glazing,rhode,treat,treatment,milk,essential,skin,hydration,prep,glazed,barrier,fluid,us
15,rhode,world,vanilla,go,u,pop,treat,sized,fresh,bye,route,en,unpacked,put,greeting
16,rhode,booth,tint,lip,melt,onto,buildable,formula,hint,bieber,coming,first,slow,peptide,start
